x,dense_pc1,flat_pc1,delta_pc1
0.33333333333333337,-0.0032028949409716395,-0.004747363053263215,0.05338106505526684
0.3434343434343435,-0.004795833772936459,-0.0063048911194292885,0.05972849518276936
0.3535353535353536,-0.0034520335120133703,-0.005863701958446577,0.067172835593094
0.36363636363636365,-0.013659257780815521,-0.014736753891139383,0.06346803458802702
0.37373737373737376,-0.023503683270516093,-0.021654187829428326,0.051575680601017054
0.38383838383838387,-0.016335591598135954,-0.013783262816050629,0.04643105031319191
0.393939393939394,-0.014285616959143902,-0.012583486988195254,0.04846203158589704
0.4040404040404041,-0.018764644174067265,-0.017641328690900383,0.05043790376118676
0.4141414141414142,-0.031141576390811138,-0.03009242414808837,0.048114474226115506
0.42424242424242425,-0.044160682401223866,-0.042986255594279925,0.05079525403147326
0.43434343434343436,-0.058238616360964744,-0.057164254455537925,0.06402778629280104
0.4444444444444445,-0.07076246203982191,-0.06990032820121707,0.07835143662780121
0.4545454545454546,-0.07350902032463873,-0.07283792483363657,0.08727527394886905
0.4646464646464647,-0.07479770777505411,-0.0740476579998508,0.07984453729528107
0.4747474747474748,-0.08082326455044016,-0.0802154646836332,0.06698145704687719
0.48484848484848486,-0.08831756462824554,-0.08845759074179427,0.05724280552775559
0.494949494949495,-0.0873818548072513,-0.08790382091369177,0.059443034986107396
0.5050505050505051,-0.07901295086511705,-0.07875490258020462,0.05571756236227988
0.5151515151515152,-0.0742041981681982,-0.07360634489825632,0.058860345885814624
0.5252525252525253,-0.07224263225375697,-0.06979438470584606,0.042460843386189065
0.5353535353535354,-0.07163072600487677,-0.06676702305496965,0.025746229907012894
0.5454545454545455,-0.06997108447776283,-0.0627639897553156,0.0037438864781057174
0.5555555555555556,-0.0665501961878843,-0.057853683894286925,-0.007135288016540064
0.5656565656565657,-0.07393245602081397,-0.06537767615339368,-0.009910465648481014
0.5757575757575758,-0.08305936641805738,-0.07538590203879418,-0.011646703077870739
0.5858585858585859,-0.10352637607580292,-0.09687059025913154,-0.016196930944900816
0.595959595959596,-0.12012904717001872,-0.11422055886409252,-0.025070065298936167
0.6060606060606061,-0.12015364865959613,-0.11429323675268072,-0.040526486228165015
0.6161616161616162,-0.11976447076768837,-0.1136925204956874,-0.06063103695344634
